"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-01","7.16",,"0.00","0.0","0.0","84","94","70","  260","  310","19.9","25.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-02","6.26",,"0.00","0.0","0.0","84","98","71","  250","  250","21.0","27.1","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-03","6.93",,"0.00","0.0","0.0","84","99","70","  170","  180","17.0","19.9",,,,"    1"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-04","10.96",,"0.03","0.0","0.0","83","91","73","  140","  100","19.9","25.9","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-05","8.95",,"1.32","0.0","0.0","81","93","72","  160","  160","21.9","27.1","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-06","4.70",,"0.31","0.0","0.0","77","88","70","  270","  270","21.9","25.9","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-07","5.37",,"0.07","0.0","0.0","78","90","73","  170","  210","21.0","23.9","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-08","7.16",,"0.42","0.0","0.0","81","88","71","  260","  260","30.0","36.0","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-09","4.92",,"1.91","0.0","0.0","77","87","72","  140","  190","30.0","38.0","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-10","6.71",,"0.04","0.0","0.0","78","90","73","  180","  170","17.0","21.9",,,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-11","4.92",,"4.53","0.0","0.0","77","88","71","  210","  200","25.1","30.0","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-12","6.04",,"2.32","0.0","0.0","75","83","70","  300","  300","23.0","30.0","    1","    1","    1","    1"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-13","7.16",,"0.00","0.0","0.0","76","85","70","  290","  270","16.1","21.0","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-14","6.93",,"0.00","0.0","0.0","76","85","64","  100","  100","17.0","21.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-15","5.82",,"0.00","0.0","0.0","75","87","62","  100","  110","15.0","19.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-16","5.59",,"0.00","0.0","0.0","80","93","70","  140","  150","18.1","23.0","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-17","7.38",,"0.00","0.0","0.0","82","92","73","  170","  160","21.9","25.1",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-18","6.04",,"0.01","0.0","0.0","81","91","74","  170","  170","17.0","19.9","    1",,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-19","7.61",,"0.35","0.0","0.0","81","89","76","  150","  300","17.0","21.9","    1",,"    1","    1"
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-20","11.41",,"0.29","0.0","0.0","83","95","74","  300","  300","35.1","44.1","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-21","8.28",,"0.00","0.0","0.0","82","95","73","  260","  280","18.1","23.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-22","7.83",,"0.43","0.0","0.0","84","97","73","  300","  300","25.1","33.1","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-23","7.61",,"0.02","0.0","0.0","80","94","70","  270","  270","30.0","38.0",,,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-24","6.26",,"0.00","0.0","0.0","82","96","72","  210","  200","15.0","19.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-25","7.83",,"0.00","0.0","0.0","86","95","75","  270","  280","17.0","21.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-26","5.37",,"0.00","0.0","0.0","84","94","73","  340","   10","13.0","17.0",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-27","5.82",,"0.00","0.0","0.0","82","93","71","  100","  110","15.0","19.9",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-28","9.17",,"0.00","0.0","0.0","82","90","73","  100","  120","19.9","25.1",,,,
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-29","4.92",,"0.00","0.0","0.0","82","91","73","  180","  180","19.9","23.0","    1",,"    1",
"USW00003822","SAVANNAH INTERNATIONAL AIRPORT, GA US","2019-06-30","4.70",,"0.00","0.0","0.0","82","93","73","  310","  310","12.1","16.1","    1",,,
